Equipment ID,Green Tag Date,Blue Tag Date,Deadline,SLA Status
(DESCOPE-XX-XX-XXX,,,,N/A
00001-EA-XX-XX-XXX,2025-03-28,,2025-04-04,Past Due
00003-EA-XX-XX-XXX,2025-03-28,,2025-04-04,Past Due
00005-EA-XX-XX-XXX,2024-11-05,2024-11-14,2024-11-12,Late
00006-EA-XX-XX-XXX,2025-01-06,2025-01-10,2025-01-13,On Time
00009-EA-XX-XX-XXX,2024-11-19,2024-11-21,2024-11-26,On Time
00012-EA-XX-XX-XXX,2025-02-19,2025-02-20,2025-02-26,On Time
00013-EA-XX-XX-XXX,2025-02-19,2025-02-24,2025-02-26,On Time
00014-EA-XX-XX-XXX,2025-02-19,2025-02-20,2025-02-26,On Time
00018-EA-XX-XX-XXX,2025-01-29,2025-01-31,2025-02-05,On Time
00019-EA-XX-XX-XXX,2025-01-29,2025-02-01,2025-02-05,On Time
00020-EA-XX-XX-XXX,2025-01-29,2025-01-31,2025-02-05,On Time
00021-EA-XX-XX-XXX,2025-01-29,2025-02-01,2025-02-05,On Time
00028-EA-XX-XX-XXX,2025-01-29,2025-01-31,2025-02-05,On Time
00029-EA-XX-XX-XXX,2025-01-31,2025-02-04,2025-02-07,On Time
00030-EA-XX-XX-XXX,2025-01-29,2025-02-01,2025-02-05,On Time
00034-EA-XX-XX-XXX,2024-11-25,2024-12-13,2024-12-02,Late
00038-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00039-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00040-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00041-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00042-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00043-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00044-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00045-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00046-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00047-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00048-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00049-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00050-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00051-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00052-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00053-EA-XX-XX-XXX,2024-11-22,2024-11-25,2024-11-29,On Time
00054-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00055-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00056-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00077-EA-XX-XX-XXX,2024-12-03,2024-12-04,2024-12-10,On Time
00078-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00079-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00080-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00081-EA-XX-XX-XXX,2024-12-03,2024-12-04,2024-12-10,On Time
00082-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00083-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00084-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00085-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00086-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00087-EA-XX-XX-XXX,2024-12-04,2024-12-04,2024-12-11,On Time
00088-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00089-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00090-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00091-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00092-EA-XX-XX-XXX,2024-12-04,2024-12-04,2024-12-11,On Time
00093-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00094-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00095-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00096-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00097-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00098-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00099-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00100-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00101-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00102-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00103-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00104-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00105-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00106-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00107-EA-XX-XX-XXX,2024-12-03,2024-12-04,2024-12-10,On Time
00136-EA-XX-XX-XXX,2024-08-29,2024-09-06,2024-09-05,Late
00137-EA-XX-XX-XXX,2024-08-29,2024-09-06,2024-09-05,Late
00138-EA-XX-XX-XXX,2024-08-29,2024-09-20,2024-09-05,Late
00139-EA-XX-XX-XXX,2024-08-29,2024-09-20,2024-09-05,Late
00144-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00145-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00146-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00147-EA-XX-XX-XXX,2025-02-11,2025-02-12,2025-02-18,On Time
00148-EA-XX-XX-XXX,2025-02-11,2025-02-12,2025-02-18,On Time
00149-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00150-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00151-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00152-EA-XX-XX-XXX,2025-02-27,2025-03-03,2025-03-06,On Time
00164-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00165-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00166-EA-XX-XX-XXX,2025-03-05,2025-03-05,2025-03-12,On Time
00167-EA-XX-XX-XXX,2025-02-11,2025-02-12,2025-02-18,On Time
00168-EA-XX-XX-XXX,2025-02-11,2025-02-12,2025-02-18,On Time
00169-EA-XX-XX-XXX,2025-02-11,2025-02-12,2025-02-18,On Time
00170-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00171-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00172-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00173-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00174-EA-XX-XX-XXX,2025-03-05,2025-03-05,2025-03-12,On Time
00175-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00176-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00177-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00178-EA-XX-XX-XXX,2025-02-27,2025-02-28,2025-03-06,On Time
00196-EA-XX-XX-XXX,2025-01-31,2025-01-31,2025-02-07,On Time
00198-EA-XX-XX-XXX,2024-11-15,2024-11-18,2024-11-22,On Time
00199-EA-XX-XX-XXX,2024-11-15,2024-11-18,2024-11-22,On Time
00200-EA-XX-XX-XXX,2024-11-15,2024-11-19,2024-11-22,On Time
00201-EA-XX-XX-XXX,2024-11-16,2024-11-21,2024-11-25,On Time
00202-EA-XX-XX-XXX,2024-11-16,2024-11-27,2024-11-25,Late
00203-EA-XX-XX-XXX,2024-11-22,2024-12-03,2024-11-29,Late
00212-EA-XX-XX-XXX,2024-11-14,2024-11-14,2024-11-21,On Time
00213-EA-XX-XX-XXX,2024-11-15,2024-12-10,2024-11-22,Late
00216-EA-XX-XX-XXX,2024-11-18,2024-12-02,2024-11-25,Late
00217-EA-XX-XX-XXX,2024-11-18,2024-11-21,2024-11-25,On Time
00218-EA-XX-XX-XXX,2024-11-18,2024-11-21,2024-11-25,On Time
00219-EA-XX-XX-XXX,2024-11-22,2024-11-27,2024-11-29,On Time
00220-EA-XX-XX-XXX,2024-11-18,2024-12-02,2024-11-25,Late
00221-EA-XX-XX-XXX,2024-11-18,2024-12-02,2024-11-25,Late
00222-EA-XX-XX-XXX,2024-11-18,2024-11-21,2024-11-25,On Time
00223-EA-XX-XX-XXX,2024-12-04,2024-12-08,2024-12-11,On Time
00224-EA-XX-XX-XXX,2024-12-12,2024-12-17,2024-12-19,On Time
00236-EA-XX-XX-XXX,2024-12-06,2024-12-09,2024-12-13,On Time
00237-EA-XX-XX-XXX,2024-12-06,2024-12-24,2024-12-13,Late
00238-EA-XX-XX-XXX,2024-12-06,2024-12-09,2024-12-13,On Time
00239-EA-XX-XX-XXX,2024-12-06,2024-12-09,2024-12-13,On Time
00240-EA-XX-XX-XXX,2024-12-06,2024-12-09,2024-12-13,On Time
00241-EA-XX-XX-XXX,2024-12-06,2024-12-09,2024-12-13,On Time
00242-EA-XX-XX-XXX,2024-12-06,2024-12-09,2024-12-13,On Time
00243-EA-XX-XX-XXX,2024-12-11,2024-12-13,2024-12-18,On Time
00253-EA-XX-XX-XXX,2024-08-29,2024-09-06,2024-09-05,Late
00254-EA-XX-XX-XXX,2024-09-16,2024-09-19,2024-09-23,On Time
00255-EA-XX-XX-XXX,2024-10-07,2024-10-12,2024-10-14,On Time
00256-EA-XX-XX-XXX,2024-10-01,2024-10-11,2024-10-08,Late
00257-EA-XX-XX-XXX,2024-10-01,2024-10-18,2024-10-08,Late
